// General information: 
//  MT Manager version: 2025.2.0 
//  XDA version: 2025.2.0 build 250509001 rev 1746715332 built on 2025-05-09
// Device information: 
//  DeviceId: 10B41B10
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
35970		8.562807	-0.556936	-4.967483	0.457564	-0.382606	-0.779301	-0.192192
35971		8.671183	-0.454997	-4.998315	0.457553	-0.382544	-0.779377	-0.192034
35972		8.501560	-0.564651	-5.178212	0.457604	-0.382450	-0.779405	-0.191984
35973		8.334087	-0.332289	-5.054020	0.457694	-0.382360	-0.779415	-0.191909
35974		7.950974	-0.226571	-5.014680	0.457845	-0.382264	-0.779402	-0.191796
35975		7.750225	-0.302697	-5.101094	0.458008	-0.382132	-0.779430	-0.191555
35976		7.874353	-0.398962	-5.125215	0.458175	-0.381902	-0.779540	-0.191167
35977		8.032644	-0.648563	-5.279935	0.458376	-0.381560	-0.779729	-0.190594
35978		8.345076	-0.569451	-5.211584	0.458586	-0.381121	-0.780010	-0.189816
35979		8.375352	-0.655943	-5.199040	0.458775	-0.380524	-0.780451	-0.188740
35980		8.786725	-0.501315	-5.040030	0.458984	-0.379853	-0.780954	-0.187499
35981		9.030388	-0.671721	-5.045113	0.459131	-0.379331	-0.781368	-0.186470
35982		9.008455	-0.950556	-5.103425	0.459218	-0.378936	-0.781672	-0.185785
35983		9.065025	-0.810848	-5.060530	0.459193	-0.378644	-0.781960	-0.185229
35984		8.965850	-0.538709	-4.903216	0.459059	-0.378586	-0.782104	-0.185068
35985		8.452007	-0.732296	-4.993669	0.458825	-0.378703	-0.782177	-0.185103
35986		8.585824	-0.503210	-4.943990	0.458610	-0.378903	-0.782160	-0.185298
35987		8.207026	-0.910349	-5.222283	0.458504	-0.379106	-0.781984	-0.185887
35988		8.079360	-0.401386	-5.030165	0.458387	-0.379350	-0.781758	-0.186623
35989		7.713905	0.012880	-4.640151	0.458356	-0.379662	-0.781470	-0.187271
35990		7.475600	0.028482	-4.606944	0.458385	-0.379937	-0.781203	-0.187759
35991		7.576961	-0.234359	-4.808658	0.458330	-0.380214	-0.781032	-0.188043
35992		7.922326	-0.731443	-4.913729	0.458182	-0.380380	-0.781052	-0.187986
35993		8.182881	-0.916680	-5.065830	0.458038	-0.380360	-0.781247	-0.187564
35994		8.588503	-0.782973	-5.030230	0.457962	-0.380133	-0.781567	-0.186879
35995		9.194064	-0.485595	-4.920462	0.457971	-0.379825	-0.781884	-0.186154
35996		9.459923	-0.771253	-4.947900	0.457980	-0.379616	-0.782110	-0.185605
35997		9.498499	-1.075775	-5.050577	0.457911	-0.379577	-0.782215	-0.185414
35998		9.037017	-1.003369	-5.171883	0.457603	-0.379813	-0.782288	-0.185382
35999		9.318864	-0.564964	-5.330441	0.457367	-0.380215	-0.782073	-0.186046
36000		8.607890	-0.521937	-5.410066	0.457300	-0.380635	-0.781642	-0.187163
