// General information: 
//  MT Manager version: 2025.2.0 
//  XDA version: 2025.2.0 build 250509001 rev 1746715332 built on 2025-05-09
// Device information: 
//  DeviceId: 10B41B12
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.14.0
//  Hardware Version: 3.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
35970		6.843157	-2.432456	6.599477	0.798980	-0.038934	-0.579946	0.154200
35971		8.941443	-1.638826	9.381852	0.797888	-0.039865	-0.581438	0.153996
35972		10.156947	-1.172062	11.413509	0.797393	-0.041057	-0.582118	0.153678
35973		9.921641	-1.655474	8.453687	0.797334	-0.042625	-0.582192	0.153279
35974		9.223665	-2.967451	5.513836	0.797590	-0.044776	-0.581795	0.152837
35975		9.774230	-4.569029	2.860507	0.797760	-0.046797	-0.581345	0.153056
35976		10.352885	-5.491885	1.111008	0.797705	-0.047992	-0.580971	0.154392
35977		10.174626	-5.209800	1.057991	0.797563	-0.049231	-0.580451	0.156672
35978		9.038878	-2.496883	-2.388939	0.797149	-0.049863	-0.580149	0.159669
35979		8.654463	0.015479	-2.629591	0.796531	-0.050986	-0.580254	0.162002
35980		7.815688	0.345624	-2.723247	0.795550	-0.053756	-0.581142	0.162741
35981		6.629510	-1.513260	-1.903470	0.794223	-0.057434	-0.582553	0.162921
35982		6.061453	-2.191662	-1.485253	0.792569	-0.060941	-0.584274	0.163537
35983		5.655119	-3.126798	-1.475667	0.790589	-0.064239	-0.586319	0.164537
35984		5.173617	-3.842946	-1.216567	0.788354	-0.066971	-0.588491	0.166408
35985		5.396273	-4.266547	4.642228	0.785975	-0.069267	-0.590556	0.169380
35986		11.074964	-1.760431	13.175041	0.783918	-0.069832	-0.591800	0.174268
35987		12.769908	2.328863	17.033650	0.783304	-0.070443	-0.591425	0.178015
35988		13.425065	1.291502	16.504357	0.783668	-0.073139	-0.590132	0.179609
35989		13.929772	-2.053530	13.362135	0.785184	-0.078752	-0.587516	0.179191
35990		9.487202	-5.378008	-0.746610	0.786219	-0.086523	-0.585456	0.177806
35991		10.905660	-6.757414	-9.291714	0.786184	-0.091288	-0.584641	0.178259
35992		7.704567	-5.825961	-9.519611	0.785597	-0.092289	-0.584150	0.181902
35993		6.854128	-1.483446	-9.428269	0.784560	-0.092612	-0.584164	0.186123
35994		4.473314	-0.275443	-8.027020	0.782948	-0.095523	-0.585099	0.188489
35995		2.599678	-2.934305	-6.250459	0.780702	-0.100850	-0.587022	0.189046
35996		1.907879	-6.373776	-4.391727	0.778197	-0.105046	-0.589203	0.190303
35997		2.254569	-7.199617	0.559678	0.775725	-0.105840	-0.591099	0.194036
35998		4.248721	-5.873487	12.157490	0.773207	-0.103751	-0.592725	0.200158
35999		12.108942	-2.093633	22.141971	0.771995	-0.100625	-0.592857	0.205956
36000		16.679020	-0.290460	25.123185	0.772498	-0.097880	-0.591367	0.209647
36001		16.468127	-2.766266	20.494093	0.774534	-0.098294	-0.588317	0.210518
36002		13.843257	-6.284464	8.196712	0.776643	-0.101127	-0.585239	0.209988
36003		12.098174	-10.354807	0.637501	0.778419	-0.104129	-0.582539	0.209453
36004		10.785413	-12.107651	-2.364703	0.779478	-0.105093	-0.580592	0.210433
